# Do not remove the column description line, it must be the first line of data.
Name|recipeTime|powerPerWorker|outputMode|in1|inCt1|in2|inCt2|in3|inCt3|in4|inCt4|out1|outCt1|out2|outCt2|out3|outCt3|RequiredUnlock|pollutionPerSecond|hideUnlessUnlocked|workersStockOneCycleMax|shipToSpawn
# recipe.coppersmelter|144|0|None|copperore|1|fuel|1|None|0|None|0|copperbar|5|None|0|None|0|unlock.oresmelter|60000|false|false|None
# recipe.bronzesmelter|144|0|None|copperore|1|tinore|1|fuel|1|None|0|bronze|5|None|0|None|0|unlock.recipe.bronzesmelter|60000|false|false|None
# recipe.nailor|144|0|None|bronze|1|None|0|None|0|None|0|nails|3|None|0|None|0|unlock.nails|0|false|false|None
# recipe.tailor|144|0|None|Fabric|3|None|0|None|0|None|0|clothes|2|None|0|None|0|unlock.textiles|0|false|false|None
# recipe.bakery|144|0|None|flour|2|fuel|1|None|0|None|0|Bread|5|None|0|None|0|unlock.bakery|10000|false|false|None
# recipe.weaver|233|0|None|thread|3|None|0|None|0|None|0|Fabric|3|None|0|None|0|unlock.fabric|0|false|false|None
# recipe.fishoil|233|0|None|rawfish|1|fluid_steam|2|None|0|None|0|oil|3|None|0|None|0|unlock.oilpress|0|false|false|None
# recipe.wheatflour|89|0|None|wheat|1|None|0|None|0|None|0|flour|5|None|0|None|0|unlock.mill|0|false|false|None
# recipe.trinkets|144|0|None|planks|1|Fabric|1|None|0|None|0|trinkets|3|None|0|None|0|None|0|false|false|None
# recipe.potashfertilizer|144|0|None|potash|1|fluid_water|13|None|0|None|0|fertilizer|5|None|0|None|0|unlock.potashProcessing|20000|false|false|None
# recipe.fishskewers|144|0|None|rawfish|2|mushroom|1|fuel|1|None|0|fishskewers|5|None|0|None|0|unlock.fishskewers|20000|false|false|None
# recipe.mushroomstew|144|0|None|mushroom|1|flour|2|fuel|1|fluid_water|5|stew|5|None|0|None|0|unlock.mushroomstew|20000|false|false|None
# recipe.heartymeal|144|0|None|Bread|1|fishskewers|1|spice|1|None|0|heartymeal|5|None|0|None|0|None|0|false|false|None
# recipe.fancymeal|144|0|None|berrysoup|1|jampastry|1|spice|1|None|0|platter|5|None|0|None|0|None|0|false|false|None
# recipe.jampastry|144|0|None|flour|3|berries|1|fuel|1|None|0|jampastry|5|None|0|None|0|unlock.jampastry|20000|false|false|None
# recipe.rope|144|0|None|flax|2|None|0|None|0|None|0|rope|3|None|0|None|0|unlock.flaxspinner|0|false|false|None
# recipe.goldsmelter|377|0|None|goldore|1|fuel|1|None|0|None|0|goldbar|1|None|0|None|0|unlock.recipe.goldsmelter|60000|false|false|None
# recipe.cannedberries|89|0|None|berries|1|bronze|1|None|0|None|0|cannedfood|3|None|0|None|0|None|0|false|false|None
# recipe.cannedfish|89|0|None|rawfish|1|bronze|1|None|0|None|0|cannedfood|3|None|0|None|0|None|0|false|false|None
# recipe.cannedmushroom|89|0|None|mushroom|1|bronze|1|None|0|None|0|cannedfood|3|None|0|None|0|None|0|false|false|None
# recipe.steelsmelter|233|0|None|ironore|1|coal|1|fuel|2|None|0|steel|5|None|0|None|0|unlock.recipe.steelsmelting|60000|false|false|None
# recipe.teaset|55|0|None|bronze|1|None|0|None|0|None|0|teaset|2|None|0|None|0|unlock.recipe.bronzesmelter|0|false|false|None
# recipe.steelplates|377|0|None|steel|1|None|0|None|0|None|0|steelplates|3|None|0|None|0|unlock.steelplates|0|false|false|None
# recipe.cannonframe|233|0|None|planks|3|nails|3|None|0|None|0|cannonframes|5|None|0|None|0|unlock.cannonframes|0|true|false|None
# recipe.bedding|144|0|None|Fabric|3|None|0|None|0|None|0|bedding|3|None|0|None|0|unlock.bedding|0|false|false|None
# recipe.soap|233|0|None|oil|2|potash|1|fluid_water|13|None|0|soap|5|None|0|None|0|unlock.soap|0|false|false|None
# recipe.medicine|144|0|None|salinesolution|3|mushroom|1|None|0|None|0|medicine|2|None|0|None|0|unlock.apothecary|0|false|false|None
# recipe.salinesolution|233|0|None|rocksalt|1|fluid_water|5|None|0|None|0|salinesolution|3|None|0|None|0|unlock.laboratory|0|false|false|None
# recipe.sail|233|0|None|Fabric|5|rope|3|None|0|None|0|sail|5|None|0|None|0|None|0|false|false|None
# recipe.salt|144|0|None|rocksalt|1|fluid_water|1|None|0|None|0|tablesalt|3|None|0|None|0|unlock.tablesalt|20000|false|false|None
# recipe.bronzecannon|377|0|None|bronze|5|cannonframes|5|fuel|2|None|0|bronzecannons|8|None|0|None|0|unlock.bronzecannons|20000|true|false|None
# recipe.steelcannon|610|0|None|steel|5|cannonframes|5|fuel|4|None|0|steelcannons|8|None|0|None|0|unlock.steelcannons|30000|true|false|None
# recipe.machinery|144|0|None|steel|3|bronze|2|oil|2|None|0|tools|2|None|0|None|0|unlock.machinist|0|false|false|None
# recipe.fishingnet|377|0|None|rope|3|None|0|None|0|None|0|fishingnet|5|None|0|None|0|unlock.netter|0|false|false|None
# recipe.tea|55|0|None|tealeaves|1|fuel|1|None|0|None|0|tea|5|None|0|None|0|unlock.tearoaster|10000|false|false|None
# recipe.finetea|89|0|None|tealeaves|2|spice|1|fuel|1|None|0|finetea|8|None|0|None|0|unlock.finetea|10000|false|false|None
# recipe.cotton|144|0|None|cotton|1|None|0|None|0|None|0|thread|8|None|0|None|0|unlock.cottongin|0|false|false|None
# recipe.spice|144|0|None|peppers|1|None|0|None|0|None|0|spice|3|None|0|None|0|unlock.spicegrinder|0|false|false|None
# recipe.flax|89|0|None|flax|2|None|0|None|0|None|0|thread|3|None|0|None|0|unlock.fabric|0|false|false|None
# recipe.simpleclothes|233|0|None|flax|1|None|0|None|0|None|0|simpleclothes|2|None|0|None|0|unlock.weaver|0|false|false|None
# recipe.vises|377|0|None|planks|2|None|0|None|0|None|0|vises|3|None|0|None|0|unlock.furnituremaker|0|false|false|None
# recipe.scissors|144|0|None|copperbar|2|None|0|None|0|None|0|scissors|3|None|0|None|0|unlock.toolmaker|0|false|false|None
# recipe.firetongs|144|0|None|bronze|2|None|0|None|0|None|0|firetongs|3|None|0|None|0|unlock.firetongs|0|false|false|None
# recipe.ironpots|233|0|None|ironbar|2|None|0|None|0|None|0|ironpots|3|None|0|None|0|unlock.blacksmith|0|false|false|None
# recipe.precisionscales|233|0|None|steel|2|None|0|None|0|None|0|precisionscales|3|None|0|None|0|unlock.precisionscales|0|false|false|None
# recipe.mushroom|0|0|None|None|0|None|0|None|0|None|0|mushroom|1|None|0|None|0|None|0|false|false|None
# recipe.wheat|0|0|None|None|0|None|0|None|0|None|0|wheat|1|None|0|None|0|None|0|false|false|None
# recipe.tealeaves|0|0|None|None|0|None|0|None|0|None|0|tealeaves|1|None|0|None|0|None|0|false|false|None
# recipe.peppers|0|0|None|None|0|None|0|None|0|None|0|peppers|1|None|0|None|0|None|0|false|false|None
# recipe.guanofertilizer|233|0|None|guano|3|fluid_water|25|None|0|None|0|fertilizer|10|None|0|None|0|unlock.guanofertilizer|15000|false|false|None
# recipe.stone_cannonball|89|0|None|stone|1|None|0|None|0|None|0|stone_cannonball|4|None|0|None|0|unlock.recipe.stone_cannonball|0|false|false|None
# recipe.bronze_cannonball|144|0|None|bronze|1|None|0|None|0|None|0|bronze_cannonball|4|None|0|None|0|unlock.recipe.bronze_cannonball|0|false|false|None
# recipe.iron_cannonball|233|0|None|ironbar|1|None|0|None|0|None|0|iron_cannonball|4|None|0|None|0|unlock.recipe.iron_cannonball|0|false|false|None
